Product Name,Price,Image URL,Product URL,User Rating,Review Count,Specifications,Brand,Product ID,Category
OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng,22.990.000₫,,https://www.thegioididong.com/dtdd/oppo-find-n3-flip,,0,"{'RAM': '12 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 48 MP, 32 MP', 'Camera trước': '32 MP'}",OPPO,309835,Điện thoại
OPPO Find N3 5G 16GB/512GB,41.990.000₫,,https://www.thegioididong.com/dtdd/oppo-find-n3,,0,"{'RAM': '16 GB', 'Dung lượng': '512 GB', 'Camera sau': 'Chính 48 MP & Phụ 48 MP, 64 MP', 'Camera trước': 'Trong: 20 MP & Ngoài: 32 MP'}",OPPO,302953,Điện thoại
OPPO A58,5.490.000₫,https://cdn.tgdd.vn/Products/Images/42/311354/oppo-a58-4g-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a58-4g,3.7,82,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",OPPO,311354,Điện thoại
realme Note 50,2.490.000₫,https://cdn.tgdd.vn/Products/Images/42/321434/realme-note-50-blue-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-note-50-64gb,3.5,32,"{'RAM': '3 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 13 MP & Phụ 0.08 MP', 'Camera trước': '5 MP'}",realme,321434,Điện thoại
realme Note 60,3.090.000₫,https://cdn.tgdd.vn/Products/Images/42/329328/realme-note-60-black-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-note-60-4gb-64gb,,0,"{'RAM': '4 GB', 'Dung lượng': '64 GB', 'Camera sau': 'Chính 32 MP & Cảm biến Flicker', 'Camera trước': '5 MP'}",realme,329328,Điện thoại
realme C65,3.590.000₫,https://cdn.tgdd.vn/Products/Images/42/323002/realme-c65-purple-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c65,4.3,12,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Cảm biến Flicker', 'Camera trước': '8 MP'}",realme,323002,Điện thoại
realme C67,3.790.000₫,https://cdn.tgdd.vn/Products/Images/42/319658/realme-c67-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c67?utm_flashsale=1,3.9,23,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 108 MP & Phụ 2 MP', 'Camera trước': '8 MP'}",realme,319658,Điện thoại
realme C53 8GB/256GB,3.590.000₫,https://cdn.tgdd.vn/Products/Images/42/317624/realme-c53-gold-thumb-600x600.jpeg,https://www.thegioididong.com/dtdd/realme-c53-8gb?utm_flashsale=1,3.4,27,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 0.08 MP', 'Camera trước': '8 MP'}",realme,317624,Điện thoại
realme C65s,4.690.000₫,https://cdn.tgdd.vn/Products/Images/42/328625/realme-c65s-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-c65s-8gb-128gb,3.3,7,"{'RAM': '8 GB', 'Dung lượng': '128 GB', 'Camera sau': 'Chính 50 MP & Cảm biến Flicker', 'Camera trước': '8 MP'}",realme,328625,Điện thoại
realme 12,7.790.000₫,https://cdn.tgdd.vn/Products/Images/42/319466/realme-12-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/realme-12,3.0,8,"{'RAM': '8 GB', 'Dung lượng': '256 GB', 'Camera sau': 'Chính 50 MP & Phụ 2 MP', 'Camera trước': '16 MP'}",realme,319466,Điện thoại
